N,Run,Theta_NO,Theta_BH,T_NO,T_BH,Total_NO,Total_BH
10,49,1.6400001186411828e-05,0.0005640000017592683,0.006419900004402734,0.0012419999984558672,0.006436300005589146,0.0018060000002151355
40,0,9.249999857274815e-05,0.022795099997892976,1.0221218999940902,0.29973880000034114,1.022214399992663,0.3225338999982341
40,1,4.369999805931002e-05,0.023510800005169585,0.9505134999999427,0.16738289999921108,0.950557199998002,0.19089370000438066
40,2,4.610000178217888e-05,0.0370660000044154,1.0616766999955871,0.21623859999817796,1.0617227999973693,0.25330460000259336
40,3,4.350000381236896e-05,0.030341799996676855,1.126067500001227,0.17896079999627545,1.1261110000050394,0.2093025999929523
40,4,8.740000339457765e-05,0.02156259999901522,0.9703982999999425,0.11668149999604793,0.9704857000033371,0.13824409999506315
40,5,4.8800000513438135e-05,0.0437305999948876,1.1504094999982044,0.2047923999998602,1.1504582999987178,0.2485229999947478
40,6,9.349999891128391e-05,0.031696300000476185,1.1186887999938335,0.1541845999963698,1.1187822999927448,0.18588089999684598
40,7,6.299999949987978e-05,0.0381818999958341,0.880599500000244,0.11746709999715677,0.8806624999997439,0.15564899999299087
40,8,7.980000373208895e-05,0.031040600006235763,1.3151796000020113,0.1608496000044397,1.3152594000057434,0.19189020001067547
40,9,4.550000448944047e-05,0.021680400001059752,1.0597898999985773,0.20818610000424087,1.0598354000030668,0.22986650000530062
40,10,7.159999950090423e-05,0.018750000002910383,1.00532230000681,0.2344362000003457,1.005393900006311,0.2531862000032561
40,11,8.22000001790002e-05,0.019259699998656288,0.957958700004383,0.23256940000283066,0.958040900004562,0.25182910000148695
40,12,8.049999451031908e-05,0.035139699997671414,1.7168554999952903,0.30430369999521645,1.7169359999898006,0.33944339999288786
40,13,0.0001049999991664663,0.028689200000371784,1.4007157000014558,0.2106899999998859,1.4008207000006223,0.2393792000002577
40,14,0.00010029999975813553,0.03745299999718554,1.608334599994123,0.3278948000006494,1.6084348999938811,0.36534779999783495
40,15,0.00011770000128308311,0.052857499998935964,1.3141878999958863,0.3624421999993501,1.3143055999971693,0.4152996999982861
40,16,0.0001669000048423186,0.025214900000719354,1.5780082999990555,0.19070329999522073,1.5781752000038978,0.21591819999594009
40,17,9.860000136541203e-05,0.03435650000028545,1.4659406999999192,0.4064130999977351,1.4660393000012846,0.44076959999802057
40,18,0.00014840000221738592,0.05268800000339979,1.873535400001856,0.16827150000608526,1.8736838000040734,0.22095950000948505
40,19,5.610000516753644e-05,0.03740519999701064,1.5864118000026792,0.30960240000422345,1.5864679000078468,0.3470076000012341
40,20,7.310000364668667e-05,0.037176300000282936,1.212913800001843,0.1936926999987918,1.2129869000054896,0.23086899999907473
40,21,4.400000034365803e-05,0.02191859999584267,1.26696730000549,0.23803820000466658,1.2670113000058336,0.25995680000050925
40,22,0.00018090000230586156,0.019974000002548564,1.0525603000060073,0.192158500001824,1.0527412000083132,0.21213250000437256
40,23,5.0499998906161636e-05,0.02242580000165617,1.0358464000019012,0.2149271000016597,1.0358969000008074,0.23735290000331588
40,24,4.9899994337465614e-05,0.021370200003730133,1.1926566999973147,0.2017751000021235,1.1927065999916522,0.22314530000585364
40,25,8.679999882588163e-05,0.018890899998950772,1.1808531999995466,0.1831547000037972,1.1809399999983725,0.20204560000274796
